1,1,uniswap,UNI,ACTIVATE,2021-06-29 16:11:46,2021-06-29 16:11:47
2,2,pancakeSwap,CAKE,ACTIVATE,2021-06-29 16:12:01,2021-06-29 16:12:04
3,2,pancakeBunny,BUNNY,ACTIVATE,2021-06-29 16:12:15,2021-06-29 16:12:16
